Dato,date_key,order_1,order_2,order_3,order_4,order_5,Tall1,Tall2,Tall3,Tall4,Tall5,Stjerne1,Stjerne2,source_1,source_2,source_3,source_4,source_5,n_inferred
2017-03-17,20170317,25,16,3,38,45,3,16,25,38,45,7,8,detektert,detektert,detektert,detektert,inferert,1
2017-03-24,20170324,36,26,44,30,25,25,26,30,36,44,3,9,detektert,detektert,detektert,detektert,inferert,1
2017-03-31,20170331,8,14,40,44,34,8,14,34,40,44,1,7,detektert,detektert,detektert,detektert,detektert,0
2017-04-07,20170407,46,45,43,27,10,10,27,43,45,46,4,8,detektert,detektert,detektert,detektert,detektert,0
2017-04-14,20170414,22,6,46,49,33,6,22,33,46,49,1,5,detektert,detektert,detektert,detektert,inferert,1
2017-04-21,20170421,46,27,31,44,49,27,31,44,46,49,6,8,detektert,detektert,detektert,detektert,inferert,1
2017-04-28,20170428,38,39,41,3,45,3,38,39,41,45,3,5,detektert,detektert,detektert,detektert,inferert,1
2017-05-05,20170505,23,42,11,41,8,8,11,23,41,42,6,8,detektert,detektert,detektert,detektert,detektert,0
2017-05-12,20170512,14,31,35,7,46,7,14,31,35,46,1,2,detektert,detektert,detektert,detektert,inferert,1
2017-05-19,20170519,22,50,33,41,46,22,33,41,46,50,2,6,detektert,detektert,detektert,detektert,detektert,0
2017-05-26,20170526,13,11,23,15,3,3,11,13,15,23,1,9,detektert,detektert,detektert,detektert,detektert,0
2017-06-02,20170602,17,2,4,20,46,2,4,17,20,46,1,8,detektert,detektert,detektert,detektert,detektert,0
2017-06-09,20170609,47,13,24,17,20,13,17,20,24,47,5,8,detektert,detektert,detektert,detektert,detektert,0
2017-06-16,20170616,31,25,1,24,38,1,24,25,31,38,1,7,detektert,detektert,detektert,detektert,detektert,0
2017-06-23,20170623,14,6,27,19,35,6,14,19,27,35,2,4,detektert,detektert,detektert,detektert,inferert,1
2017-06-30,20170630,11,3,18,1,31,1,3,11,18,31,3,6,detektert,detektert,detektert,detektert,inferert,1
2017-07-07,20170707,16,23,17,15,30,15,16,17,23,30,6,9,detektert,detektert,detektert,detektert,detektert,0
2017-07-14,20170714,49,25,3,31,9,3,9,25,31,49,8,9,detektert,detektert,detektert,detektert,detektert,0
2017-07-21,20170721,35,36,27,38,48,27,35,36,38,48,2,3,detektert,detektert,detektert,detektert,inferert,1
2017-07-28,20170728,26,40,45,18,14,14,18,26,40,45,1,5,detektert,detektert,detektert,detektert,detektert,0
2017-08-04,20170804,47,44,39,46,18,18,39,44,46,47,4,6,detektert,detektert,detektert,detektert,inferert,1
2017-08-11,20170811,14,13,21,23,40,13,14,21,23,40,1,3,detektert,detektert,detektert,inferert,inferert,2
2017-08-18,20170818,34,32,4,1,20,1,4,20,32,34,3,6,detektert,detektert,detektert,detektert,detektert,0
2017-08-25,20170825,20,11,28,41,45,11,20,28,41,45,5,9,detektert,detektert,detektert,inferert,inferert,2
2017-09-01,20170901,4,9,3,19,28,3,4,9,19,28,1,7,detektert,detektert,detektert,detektert,inferert,1
2017-10-13,20171013,40,44,9,46,43,9,40,43,44,46,1,8,detektert,detektert,detektert,detektert,detektert,0
2017-11-03,20171103,2,35,44,45,50,2,35,44,45,50,6,7,detektert,detektert,detektert,inferert,inferert,2
2017-11-10,20171110,24,50,17,14,1,1,14,17,24,50,8,9,detektert,detektert,detektert,detektert,detektert,0
2017-11-17,20171117,4,17,47,3,41,3,4,17,41,47,2,5,detektert,detektert,detektert,detektert,detektert,0
2017-11-24,20171124,18,43,11,22,16,11,16,18,22,43,7,8,detektert,detektert,detektert,detektert,detektert,0
2017-12-08,20171208,20,9,34,24,15,9,15,20,24,34,1,5,detektert,detektert,detektert,detektert,inferert,1
2017-12-15,20171215,12,7,16,1,18,1,7,12,16,18,1,4,detektert,detektert,detektert,detektert,inferert,1
2017-12-22,20171222,26,16,32,40,47,16,26,32,40,47,1,6,detektert,detektert,detektert,detektert,detektert,0
2017-12-29,20171229,16,30,33,40,43,16,30,33,40,43,2,4,detektert,detektert,detektert,detektert,detektert,0
2018-01-05,20180105,38,40,7,45,2,2,7,38,40,45,7,10,detektert,detektert,detektert,detektert,detektert,0
2018-01-12,20180112,44,25,40,17,16,16,17,25,40,44,2,9,detektert,detektert,detektert,detektert,detektert,0
2018-01-19,20180119,47,45,17,3,9,3,9,17,45,47,4,9,detektert,detektert,detektert,detektert,detektert,0
2018-01-26,20180126,29,26,35,10,23,10,23,26,29,35,3,5,detektert,detektert,detektert,detektert,detektert,0
2018-02-02,20180202,33,29,15,24,41,15,24,29,33,41,7,8,detektert,detektert,detektert,inferert,inferert,2
2018-02-09,20180209,46,24,7,8,34,7,8,24,34,46,4,8,detektert,detektert,detektert,detektert,inferert,1
2018-02-16,20180216,8,25,44,4,19,4,8,19,25,44,9,10,detektert,detektert,detektert,detektert,detektert,0
2018-02-23,20180223,26,18,46,33,42,18,26,33,42,46,4,10,detektert,detektert,detektert,detektert,detektert,0
2018-03-02,20180302,46,16,20,18,27,16,18,20,27,46,3,5,detektert,detektert,detektert,detektert,inferert,1
2018-03-09,20180309,23,15,28,33,36,15,23,28,33,36,4,7,detektert,detektert,detektert,inferert,inferert,2
2018-03-16,20180316,27,4,37,49,48,4,27,37,48,49,3,4,detektert,detektert,detektert,detektert,detektert,0
2018-03-30,20180330,32,15,5,29,17,5,15,17,29,32,5,7,detektert,detektert,detektert,detektert,detektert,0
2018-04-20,20180420,22,46,28,24,25,22,24,25,28,46,2,4,detektert,detektert,detektert,detektert,detektert,0
2018-04-27,20180427,21,31,32,9,33,9,21,31,32,33,9,10,detektert,detektert,detektert,detektert,inferert,1
2018-05-04,20180504,49,24,26,29,36,24,26,29,36,49,3,6,detektert,detektert,detektert,detektert,detektert,0
2018-05-11,20180511,14,17,37,3,39,3,14,17,37,39,5,10,detektert,detektert,detektert,detektert,inferert,1
2018-05-25,20180525,35,31,15,40,46,15,31,35,40,46,3,8,detektert,detektert,detektert,inferert,inferert,2
2018-06-01,20180601,21,30,14,19,32,14,19,21,30,32,4,7,detektert,detektert,detektert,detektert,inferert,1
2018-06-08,20180608,13,39,36,22,5,5,13,22,36,39,9,10,detektert,detektert,detektert,detektert,detektert,0
2018-06-15,20180615,5,21,1,7,9,1,5,7,9,21,3,10,detektert,detektert,detektert,detektert,inferert,1
2018-06-22,20180622,33,35,16,43,24,16,24,33,35,43,6,7,detektert,detektert,detektert,detektert,detektert,0
2018-06-29,20180629,9,18,30,47,48,9,18,30,47,48,4,6,detektert,detektert,inferert,inferert,inferert,3
2018-07-06,20180706,38,7,24,2,45,2,7,24,38,45,5,8,detektert,detektert,detektert,detektert,inferert,1
2018-07-13,20180713,34,14,21,13,46,13,14,21,34,46,2,5,detektert,detektert,detektert,detektert,inferert,1
2018-07-20,20180720,33,13,40,42,43,13,33,40,42,43,7,9,detektert,detektert,inferert,inferert,inferert,3
2018-07-27,20180727,22,2,40,43,50,2,22,40,43,50,3,8,detektert,detektert,detektert,inferert,inferert,2
2018-08-03,20180803,8,25,4,12,31,4,8,12,25,31,7,8,detektert,detektert,detektert,detektert,inferert,1
2018-08-10,20180810,4,15,17,21,23,4,15,17,21,23,6,7,inferert,inferert,inferert,inferert,inferert,5
2018-08-17,20180817,44,43,32,2,12,2,12,32,43,44,3,4,detektert,detektert,detektert,detektert,detektert,0
2018-08-24,20180824,25,26,8,38,48,8,25,26,38,48,6,9,detektert,detektert,detektert,detektert,inferert,1
2018-08-31,20180831,9,6,24,18,3,3,6,9,18,24,2,7,detektert,detektert,detektert,detektert,detektert,0
2018-09-07,20180907,36,4,7,43,28,4,7,28,36,43,1,6,detektert,detektert,detektert,detektert,detektert,0
2018-09-14,20180914,35,33,24,46,49,24,33,35,46,49,5,9,detektert,detektert,detektert,detektert,inferert,1
2018-09-21,20180921,5,8,16,42,46,5,8,16,42,46,2,10,detektert,detektert,detektert,inferert,inferert,2
2018-09-28,20180928,18,8,13,3,40,3,8,13,18,40,6,10,detektert,detektert,detektert,detektert,inferert,1
2018-10-05,20181005,12,44,32,49,15,12,15,32,44,49,5,7,detektert,detektert,detektert,detektert,detektert,0
2018-10-12,20181012,6,50,26,31,42,6,26,31,42,50,2,9,detektert,detektert,detektert,detektert,inferert,1
2018-10-19,20181019,28,32,9,12,48,9,12,28,32,48,7,8,detektert,detektert,detektert,detektert,inferert,1
2018-10-26,20181026,19,38,33,18,44,18,19,33,38,44,4,10,detektert,detektert,detektert,detektert,inferert,1
2018-11-02,20181102,27,17,33,5,42,5,17,27,33,42,9,10,detektert,detektert,detektert,inferert,inferert,2
2018-11-09,20181109,34,46,8,32,49,8,32,34,46,49,3,5,detektert,detektert,detektert,detektert,inferert,1
2018-11-16,20181116,15,18,13,39,45,13,15,18,39,45,5,6,detektert,detektert,detektert,inferert,inferert,2
2018-11-23,20181123,22,46,28,31,17,17,22,28,31,46,5,10,detektert,detektert,detektert,detektert,detektert,0
2018-11-30,20181130,35,36,22,18,41,18,22,35,36,41,3,4,detektert,detektert,detektert,detektert,inferert,1
2018-12-07,20181207,21,16,4,31,42,4,16,21,31,42,4,6,detektert,detektert,detektert,detektert,inferert,1
2018-12-14,20181214,24,14,26,4,30,4,14,24,26,30,9,10,detektert,detektert,detektert,detektert,inferert,1
2018-12-21,20181221,34,16,20,3,49,3,16,20,34,49,2,10,detektert,detektert,detektert,detektert,inferert,1
2018-12-28,20181228,24,19,31,38,40,19,24,31,38,40,7,10,detektert,detektert,detektert,detektert,inferert,1
2019-01-04,20190104,25,32,10,3,43,3,10,25,32,43,1,3,detektert,detektert,detektert,detektert,detektert,0
2019-01-11,20190111,6,12,35,49,39,6,12,35,39,49,4,9,detektert,detektert,detektert,detektert,detektert,0
2019-01-18,20190118,23,9,2,36,47,2,9,23,36,47,2,9,detektert,detektert,detektert,detektert,inferert,1
2019-01-25,20190125,48,28,35,25,24,24,25,28,35,48,4,8,detektert,detektert,detektert,detektert,detektert,0
2019-02-01,20190201,47,6,38,29,45,6,29,38,45,47,2,3,detektert,detektert,detektert,detektert,inferert,1
2019-02-08,20190208,5,21,8,26,24,5,8,21,24,26,4,5,detektert,detektert,detektert,detektert,inferert,1
2019-02-22,20190222,21,26,16,25,14,14,16,21,25,26,8,10,detektert,detektert,detektert,detektert,detektert,0
2019-03-01,20190301,16,7,24,19,18,7,16,18,19,24,1,6,detektert,detektert,detektert,detektert,detektert,0
2019-03-08,20190308,4,30,29,45,31,4,29,30,31,45,1,7,detektert,detektert,detektert,detektert,detektert,0
2019-03-15,20190315,11,1,19,2,47,1,2,11,19,47,2,7,detektert,detektert,detektert,detektert,inferert,1
2019-03-22,20190322,44,49,20,24,15,15,20,24,44,49,7,9,detektert,detektert,detektert,detektert,detektert,0
2019-03-29,20190329,4,24,9,15,42,4,9,15,24,42,8,9,detektert,detektert,detektert,detektert,inferert,1
2019-04-05,20190405,31,22,43,44,50,22,31,43,44,50,1,9,detektert,detektert,detektert,inferert,inferert,2
2019-04-12,20190412,14,16,30,21,37,14,16,21,30,37,4,8,detektert,detektert,detektert,detektert,inferert,1
2019-04-19,20190419,37,18,21,43,47,18,21,37,43,47,1,3,detektert,detektert,detektert,inferert,inferert,2
2019-04-26,20190426,38,6,1,17,11,1,6,11,17,38,4,8,detektert,detektert,detektert,detektert,detektert,0
2019-05-03,20190503,10,42,9,3,19,3,9,10,19,42,1,7,detektert,detektert,detektert,detektert,detektert,0
2019-05-17,20190517,27,46,35,33,20,20,27,33,35,46,5,9,detektert,detektert,detektert,detektert,inferert,1
2019-05-24,20190524,8,26,38,47,50,8,26,38,47,50,3,7,detektert,detektert,detektert,detektert,inferert,1
2019-05-31,20190531,10,12,36,35,43,10,12,35,36,43,2,5,detektert,detektert,detektert,detektert,inferert,1
2019-06-07,20190607,8,20,7,35,38,7,8,20,35,38,5,9,detektert,detektert,detektert,inferert,inferert,2
2019-06-14,20190614,40,41,23,42,8,8,23,40,41,42,2,10,detektert,detektert,detektert,detektert,detektert,0
2019-06-21,20190621,27,20,37,41,45,20,27,37,41,45,1,7,detektert,detektert,inferert,inferert,inferert,3
2019-06-28,20190628,25,26,18,35,38,18,25,26,35,38,5,6,detektert,detektert,detektert,detektert,inferert,1
2019-07-05,20190705,1,48,50,15,34,1,15,34,48,50,6,10,detektert,detektert,detektert,detektert,inferert,1
2019-07-12,20190712,36,40,31,42,45,31,36,40,42,45,7,9,detektert,detektert,detektert,detektert,inferert,1
2019-07-19,20190719,31,32,45,47,49,31,32,45,47,49,7,9,detektert,detektert,detektert,inferert,inferert,2
2019-07-26,20190726,3,8,30,46,48,3,8,30,46,48,1,3,detektert,detektert,detektert,inferert,inferert,2
2019-08-02,20190802,41,38,11,6,44,6,11,38,41,44,9,10,detektert,detektert,detektert,detektert,inferert,1
2019-08-09,20190809,20,4,21,2,49,2,4,20,21,49,9,10,detektert,detektert,detektert,detektert,inferert,1
2019-08-16,20190816,7,44,20,42,35,7,20,35,42,44,3,7,detektert,detektert,detektert,detektert,inferert,1
2019-08-23,20190823,15,18,19,41,42,15,18,19,41,42,4,6,inferert,inferert,inferert,inferert,inferert,5
2019-08-30,20190830,10,35,46,18,32,10,18,32,35,46,3,10,detektert,detektert,detektert,detektert,inferert,1
2019-09-06,20190906,21,29,24,50,30,21,24,29,30,50,1,5,detektert,detektert,detektert,detektert,detektert,0
2019-09-13,20190913,21,22,3,33,47,3,21,22,33,47,2,9,detektert,detektert,detektert,detektert,detektert,0
2019-09-20,20190920,41,48,17,21,49,17,21,41,48,49,4,8,detektert,detektert,detektert,detektert,inferert,1
2019-09-27,20190927,24,26,34,21,47,21,24,26,34,47,4,6,detektert,detektert,detektert,detektert,inferert,1
2019-10-04,20191004,19,20,15,45,49,15,19,20,45,49,7,8,detektert,detektert,detektert,inferert,inferert,2
2019-10-11,20191011,39,8,12,44,13,8,12,13,39,44,4,9,detektert,detektert,detektert,detektert,inferert,1
2019-10-18,20191018,6,9,31,44,43,6,9,31,43,44,6,9,detektert,detektert,detektert,detektert,detektert,0
2019-10-25,20191025,30,2,34,45,35,2,30,34,35,45,1,2,detektert,detektert,detektert,detektert,inferert,1
2019-11-01,20191101,3,31,17,34,40,3,17,31,34,40,1,2,detektert,detektert,detektert,detektert,inferert,1
2019-11-08,20191108,20,39,14,23,49,14,20,23,39,49,4,10,detektert,detektert,detektert,detektert,detektert,0
2019-11-15,20191115,24,19,30,10,39,10,19,24,30,39,2,4,detektert,detektert,detektert,detektert,inferert,1
2019-11-22,20191122,37,24,12,38,3,3,12,24,37,38,3,7,detektert,detektert,detektert,detektert,detektert,0
2019-11-29,20191129,30,31,3,2,45,2,3,30,31,45,6,8,detektert,detektert,detektert,detektert,detektert,0
2019-12-06,20191206,23,30,14,8,45,8,14,23,30,45,1,9,detektert,detektert,detektert,detektert,inferert,1
2019-12-13,20191213,25,31,49,38,50,25,31,38,49,50,5,10,detektert,detektert,detektert,detektert,inferert,1
2019-12-20,20191220,21,20,22,12,35,12,20,21,22,35,4,10,detektert,detektert,detektert,detektert,inferert,1
2019-12-27,20191227,34,28,12,7,45,7,12,28,34,45,3,6,detektert,detektert,detektert,detektert,detektert,0
2020-01-03,20200103,27,30,6,35,41,6,27,30,35,41,4,5,detektert,detektert,detektert,detektert,inferert,1
2020-01-10,20200110,14,4,25,34,49,4,14,25,34,49,4,9,detektert,detektert,inferert,inferert,inferert,3
2020-01-17,20200117,23,1,32,45,49,1,23,32,45,49,5,10,detektert,detektert,detektert,inferert,inferert,2
2020-01-24,20200124,20,12,29,5,48,5,12,20,29,48,7,9,detektert,detektert,detektert,detektert,inferert,1
2020-01-31,20200131,7,1,23,12,39,1,7,12,23,39,3,4,detektert,detektert,detektert,inferert,inferert,2
2020-02-07,20200207,44,22,16,7,36,7,16,22,36,44,3,4,detektert,detektert,detektert,detektert,inferert,1
2020-02-14,20200214,30,6,2,32,49,2,6,30,32,49,1,4,detektert,detektert,detektert,inferert,inferert,2
2020-02-21,20200221,39,2,47,13,45,2,13,39,45,47,4,6,detektert,detektert,detektert,detektert,detektert,0
2020-02-28,20200228,38,29,22,24,12,12,22,24,29,38,5,6,detektert,detektert,detektert,detektert,detektert,0
2020-03-06,20200306,19,36,41,35,15,15,19,35,36,41,5,10,detektert,detektert,detektert,detektert,inferert,1
2020-03-13,20200313,1,17,39,42,29,1,17,29,39,42,7,8,detektert,detektert,detektert,detektert,detektert,0
2020-03-20,20200320,37,28,14,30,9,9,14,28,30,37,3,10,detektert,detektert,detektert,detektert,detektert,0
2020-03-27,20200327,23,19,34,13,41,13,19,23,34,41,3,8,detektert,detektert,detektert,detektert,inferert,1
2020-04-03,20200403,3,21,40,26,41,3,21,26,40,41,8,10,detektert,detektert,detektert,inferert,inferert,2
2020-04-10,20200410,2,8,7,43,50,2,7,8,43,50,2,3,detektert,detektert,detektert,inferert,inferert,2
2020-04-17,20200417,18,33,1,23,41,1,18,23,33,41,2,6,detektert,detektert,detektert,inferert,inferert,2
2020-04-24,20200424,6,34,13,35,15,6,13,15,34,35,1,5,detektert,detektert,detektert,detektert,inferert,1
2020-05-01,20200501,41,11,12,6,21,6,11,12,21,41,1,2,detektert,detektert,detektert,detektert,inferert,1
2020-05-08,20200508,36,15,9,11,43,9,11,15,36,43,8,9,detektert,detektert,detektert,detektert,inferert,1
2020-05-15,20200515,49,29,34,21,27,21,27,29,34,49,8,10,detektert,detektert,detektert,detektert,inferert,1
2020-05-22,20200522,40,12,32,45,15,12,15,32,40,45,7,10,detektert,detektert,detektert,detektert,inferert,1
2020-05-29,20200529,36,8,22,31,32,8,22,31,32,36,6,10,detektert,detektert,detektert,detektert,detektert,0
2020-06-05,20200605,39,9,29,16,17,9,16,17,29,39,1,8,detektert,detektert,detektert,inferert,inferert,2
2020-06-12,20200612,22,16,7,30,48,7,16,22,30,48,2,8,detektert,detektert,detektert,inferert,inferert,2
2020-06-19,20200619,38,47,33,2,22,2,22,33,38,47,2,9,detektert,detektert,detektert,detektert,inferert,1
2020-06-26,20200626,34,32,14,47,16,14,16,32,34,47,7,9,detektert,detektert,detektert,detektert,inferert,1
2020-07-03,20200703,36,34,12,48,47,12,34,36,47,48,5,7,detektert,detektert,detektert,detektert,inferert,1
2020-07-10,20200710,6,9,15,5,29,5,6,9,15,29,4,9,detektert,detektert,detektert,detektert,inferert,1
2020-07-17,20200717,21,13,25,34,35,13,21,25,34,35,5,10,detektert,detektert,inferert,inferert,inferert,3
2020-08-14,20200814,48,20,27,9,35,9,20,27,35,48,5,9,detektert,detektert,detektert,detektert,detektert,0
2020-08-21,20200821,27,30,26,46,49,26,27,30,46,49,1,2,detektert,detektert,detektert,detektert,inferert,1
2020-08-28,20200828,22,11,38,8,41,8,11,22,38,41,4,7,detektert,detektert,detektert,detektert,detektert,0
2020-09-04,20200904,38,23,28,5,49,5,23,28,38,49,3,9,detektert,detektert,detektert,detektert,inferert,1
2020-09-11,20200911,2,5,45,43,24,2,5,24,43,45,4,10,detektert,detektert,detektert,detektert,inferert,1
2020-09-18,20200918,14,12,40,7,42,7,12,14,40,42,7,8,detektert,detektert,detektert,detektert,inferert,1
2020-09-25,20200925,9,1,29,7,46,1,7,9,29,46,9,10,detektert,detektert,detektert,detektert,detektert,0
2020-10-02,20201002,39,49,15,19,34,15,19,34,39,49,2,7,detektert,detektert,detektert,inferert,inferert,2
2020-10-09,20201009,17,11,23,29,1,1,11,17,23,29,1,8,detektert,detektert,detektert,detektert,detektert,0
2020-10-16,20201016,44,35,5,11,50,5,11,35,44,50,4,10,detektert,detektert,detektert,detektert,inferert,1
2020-10-23,20201023,21,37,23,17,45,17,21,23,37,45,7,9,detektert,detektert,detektert,detektert,inferert,1
2020-10-30,20201030,19,24,33,11,39,11,19,24,33,39,1,4,detektert,detektert,detektert,detektert,inferert,1
2020-11-06,20201106,5,12,26,47,50,5,12,26,47,50,2,3,detektert,detektert,inferert,inferert,inferert,3
2020-11-13,20201113,21,17,5,37,38,5,17,21,37,38,1,4,detektert,detektert,detektert,detektert,inferert,1
2020-11-20,20201120,20,50,18,49,34,18,20,34,49,50,7,8,detektert,detektert,detektert,detektert,detektert,0
2020-11-27,20201127,30,1,22,25,2,1,2,22,25,30,5,10,detektert,detektert,detektert,detektert,detektert,0
2020-12-04,20201204,40,27,41,1,37,1,27,37,40,41,7,10,detektert,detektert,detektert,detektert,inferert,1
2020-12-11,20201211,13,4,49,15,41,4,13,15,41,49,1,9,detektert,detektert,detektert,inferert,inferert,2
2020-12-18,20201218,28,17,50,4,27,4,17,27,28,50,5,8,detektert,detektert,detektert,detektert,inferert,1
2020-12-25,20201225,7,10,19,26,42,7,10,19,26,42,1,9,detektert,detektert,inferert,inferert,inferert,3
2021-01-01,20210101,17,43,36,38,46,17,36,38,43,46,4,6,detektert,detektert,detektert,detektert,inferert,1
2021-01-08,20210108,25,50,22,8,38,8,22,25,38,50,8,9,detektert,detektert,detektert,detektert,inferert,1
2021-01-15,20210115,19,32,36,46,10,10,19,32,36,46,4,6,detektert,detektert,detektert,detektert,inferert,1
2021-01-22,20210122,41,40,38,46,48,38,40,41,46,48,2,6,detektert,detektert,detektert,inferert,inferert,2
2021-01-29,20210129,30,36,16,33,43,16,30,33,36,43,4,8,detektert,detektert,detektert,inferert,inferert,2
2021-02-05,20210205,2,33,3,16,46,2,3,16,33,46,2,10,detektert,detektert,detektert,detektert,inferert,1
2021-02-12,20210212,24,18,15,27,44,15,18,24,27,44,2,7,detektert,detektert,detektert,detektert,inferert,1
2021-02-19,20210219,36,38,35,27,41,27,35,36,38,41,5,7,detektert,detektert,detektert,detektert,detektert,0
2021-02-26,20210226,13,24,3,29,32,3,13,24,29,32,1,7,detektert,detektert,detektert,detektert,inferert,1
2021-03-05,20210305,9,23,34,40,42,9,23,34,40,42,1,4,detektert,detektert,detektert,inferert,inferert,2
2021-03-12,20210312,26,11,18,6,34,6,11,18,26,34,5,8,detektert,detektert,detektert,detektert,inferert,1
2021-03-19,20210319,3,34,19,11,37,3,11,19,34,37,8,9,detektert,detektert,detektert,detektert,inferert,1
2021-03-26,20210326,38,7,41,44,50,7,38,41,44,50,1,8,detektert,detektert,detektert,inferert,inferert,2
2021-04-02,20210402,3,36,1,4,43,1,3,4,36,43,2,3,detektert,detektert,detektert,detektert,inferert,1
2021-04-09,20210409,11,23,18,29,32,11,18,23,29,32,3,7,detektert,detektert,detektert,inferert,inferert,2
2021-04-16,20210416,31,19,12,20,28,12,19,20,28,31,6,9,detektert,detektert,detektert,inferert,inferert,2
2021-04-23,20210423,3,11,6,14,49,3,6,11,14,49,1,5,detektert,detektert,detektert,detektert,inferert,1
2021-04-30,20210430,34,23,43,27,40,23,27,34,40,43,5,7,detektert,detektert,detektert,detektert,detektert,0
2021-05-07,20210507,7,27,29,3,19,3,7,19,27,29,7,10,detektert,detektert,detektert,detektert,inferert,1
2021-05-14,20210514,29,42,15,1,50,1,15,29,42,50,3,6,detektert,detektert,detektert,detektert,inferert,1
2021-05-21,20210521,2,39,12,33,15,2,12,15,33,39,4,9,detektert,detektert,detektert,detektert,detektert,0
2021-05-28,20210528,43,26,15,35,37,15,26,35,37,43,3,8,detektert,detektert,detektert,inferert,inferert,2
2021-06-04,20210604,49,17,50,13,26,13,17,26,49,50,1,7,detektert,detektert,detektert,detektert,detektert,0
2021-06-11,20210611,20,8,23,48,50,8,20,23,48,50,8,9,detektert,detektert,inferert,inferert,inferert,3
2021-06-18,20210618,14,11,44,46,49,11,14,44,46,49,7,10,detektert,detektert,detektert,detektert,inferert,1
2021-06-25,20210625,47,22,4,30,17,4,17,22,30,47,1,8,detektert,detektert,detektert,detektert,detektert,0
2021-07-02,20210702,5,10,4,25,31,4,5,10,25,31,4,6,detektert,detektert,detektert,detektert,detektert,0
2021-07-09,20210709,15,14,20,31,8,8,14,15,20,31,8,9,detektert,detektert,detektert,detektert,detektert,0
2021-07-16,20210716,14,24,9,37,39,9,14,24,37,39,4,9,detektert,detektert,detektert,detektert,inferert,1
2021-07-23,20210723,13,33,42,48,50,13,33,42,48,50,3,9,detektert,detektert,inferert,inferert,inferert,3
2021-07-30,20210730,44,5,14,39,43,5,14,39,43,44,1,6,detektert,detektert,inferert,inferert,inferert,3
2021-08-06,20210806,21,19,29,16,36,16,19,21,29,36,1,7,detektert,detektert,detektert,detektert,inferert,1
2021-08-13,20210813,31,4,39,43,46,4,31,39,43,46,1,4,detektert,detektert,detektert,detektert,inferert,1
2021-08-20,20210820,34,8,31,36,45,8,31,34,36,45,8,10,detektert,detektert,detektert,inferert,inferert,2
2021-08-27,20210827,19,42,25,22,20,19,20,22,25,42,4,6,detektert,detektert,detektert,detektert,detektert,0
2021-09-03,20210903,9,44,20,5,48,5,9,20,44,48,4,10,detektert,detektert,detektert,detektert,inferert,1
2021-09-10,20210910,2,18,23,42,14,2,14,18,23,42,5,10,detektert,detektert,detektert,detektert,detektert,0
2021-09-17,20210917,14,27,17,20,32,14,17,20,27,32,3,7,detektert,detektert,detektert,detektert,inferert,1
2021-09-24,20210924,12,49,22,35,38,12,22,35,38,49,5,10,detektert,detektert,detektert,inferert,inferert,2
2021-10-01,20211001,37,34,33,20,39,20,33,34,37,39,4,8,detektert,detektert,detektert,inferert,inferert,2
2021-10-08,20211008,32,28,46,38,20,20,28,32,38,46,6,8,detektert,detektert,detektert,detektert,detektert,0
2021-10-15,20211015,6,8,21,25,2,2,6,8,21,25,6,9,detektert,detektert,detektert,detektert,detektert,0
2021-10-22,20211022,34,15,33,38,43,15,33,34,38,43,3,7,detektert,detektert,detektert,inferert,inferert,2
2021-10-29,20211029,23,11,37,38,44,11,23,37,38,44,4,8,detektert,detektert,detektert,inferert,inferert,2
2021-11-05,20211105,31,13,49,25,6,6,13,25,31,49,2,7,detektert,detektert,detektert,detektert,detektert,0
2021-11-12,20211112,30,4,43,44,46,4,30,43,44,46,1,3,detektert,detektert,inferert,inferert,inferert,3
2021-11-19,20211119,6,21,12,34,20,6,12,20,21,34,4,5,detektert,detektert,detektert,detektert,inferert,1
2021-11-26,20211126,7,21,17,39,37,7,17,21,37,39,3,5,detektert,detektert,detektert,detektert,inferert,1
2021-12-03,20211203,5,23,2,13,15,2,5,13,15,23,6,8,detektert,detektert,detektert,inferert,inferert,2
2021-12-10,20211210,8,48,30,9,34,8,9,30,34,48,5,8,detektert,detektert,detektert,detektert,detektert,0
2021-12-17,20211217,6,8,16,44,50,6,8,16,44,50,1,10,detektert,detektert,inferert,inferert,inferert,3
2021-12-24,20211224,17,21,35,3,42,3,17,21,35,42,8,9,detektert,detektert,detektert,detektert,detektert,0
2021-12-31,20211231,16,36,7,42,43,7,16,36,42,43,6,8,detektert,detektert,detektert,detektert,inferert,1
2022-01-07,20220107,17,21,8,23,47,8,17,21,23,47,2,6,detektert,detektert,detektert,detektert,inferert,1
2022-01-14,20220114,15,27,9,41,44,9,15,27,41,44,2,4,detektert,detektert,detektert,detektert,inferert,1
2022-01-21,20220121,29,5,9,32,2,2,5,9,29,32,2,4,detektert,detektert,detektert,detektert,detektert,0
2022-01-28,20220128,23,21,29,5,35,5,21,23,29,35,7,9,detektert,detektert,detektert,detektert,inferert,1
2022-02-04,20220204,18,27,33,12,41,12,18,27,33,41,9,10,detektert,detektert,detektert,detektert,detektert,0
2022-02-11,20220211,5,10,26,37,42,5,10,26,37,42,3,10,detektert,detektert,inferert,inferert,inferert,3
2022-02-18,20220218,5,29,10,25,32,5,10,25,29,32,4,7,detektert,detektert,detektert,inferert,inferert,2
2022-02-25,20220225,4,41,34,43,19,4,19,34,41,43,1,5,detektert,detektert,detektert,detektert,inferert,1
2022-03-04,20220304,1,36,20,17,49,1,17,20,36,49,6,9,detektert,detektert,detektert,detektert,inferert,1
